key,0,1
#,,
offset,0,4
Int32,String,String
0,"TEXT_KINGLA406_04994_SEQ_00","Shunye scheint sich Sorgen um seinen emsigsten Mitarbeiter zu machen."
1,"TEXT_KINGLA406_04994_SEQ_01","Shunye lässt sich von Uvlos Tatendrang überzeugen und schickt euch in den Wald von Yak T'el, wo einst vor langer Zeit ein Meteorit niedergegangen ist. Er gibt euch die Anweisung, sechs <hex:023210FF07>ItemMP<hex:06F2AB7E03050203> zu sammeln und für weitere Unter<hex:02160103>such<hex:02160103>ungen zu ihm zu bringen.<hex:02100103><hex:02100103>※ Gärtner finden die Gegenstände in der Nähe von Ilyon Asoh, Minenarbeiter bei Iq Br'aax in Yak T'el.<hex:02100103>※ Die Gegenstände können ab einem Sammlerwert von 240 abgegeben werden. Ab einem Sammlerwert von 600 erhältst du jedoch zusätzliche Belohnungen."
2,"TEXT_KINGLA406_04994_SEQ_02","Nach einer eingehenden Unter<hex:02160103>such<hex:02160103>ung der Fragmente gibt Shunye zu, dass sie Ähnlichkeiten mit den blauen Himmelsblüten aufweisen. Allerdings ist er der Meinung, dass das nicht ausreicht, um eine eindeutige Schlussfolgerung aus den Geschehnissen vor fünfzig Jahren zu ziehen. Uvlo lässt nicht locker und Shunye willigt schließlich ein, die Suche noch nicht aufzugeben. Er bittet euch allerdings noch um Geduld, bis er einen besseren Weg gefunden hat, der weniger Eingriff in die Natur von Yak T'el bedeutet. Nutze die Zeit, um deine Sammelfähigkeiten zu verbessern, bevor du in Shunyes Apotheke zurückkehrst!"
3,"TEXT_KINGLA406_04994_SEQ_03",""
4,"TEXT_KINGLA406_04994_SEQ_04",""
5,"TEXT_KINGLA406_04994_SEQ_05",""
6,"TEXT_KINGLA406_04994_SEQ_06",""
7,"TEXT_KINGLA406_04994_SEQ_07",""
8,"TEXT_KINGLA406_04994_SEQ_08",""
9,"TEXT_KINGLA406_04994_SEQ_09",""
10,"TEXT_KINGLA406_04994_SEQ_10",""
11,"TEXT_KINGLA406_04994_SEQ_11",""
12,"TEXT_KINGLA406_04994_SEQ_12",""
13,"TEXT_KINGLA406_04994_SEQ_13",""
14,"TEXT_KINGLA406_04994_SEQ_14",""
15,"TEXT_KINGLA406_04994_SEQ_15",""
16,"TEXT_KINGLA406_04994_SEQ_16",""
17,"TEXT_KINGLA406_04994_SEQ_17",""
18,"TEXT_KINGLA406_04994_SEQ_18",""
19,"TEXT_KINGLA406_04994_SEQ_19",""
20,"TEXT_KINGLA406_04994_SEQ_20",""
21,"TEXT_KINGLA406_04994_SEQ_21",""
22,"TEXT_KINGLA406_04994_SEQ_22",""
23,"TEXT_KINGLA406_04994_SEQ_23",""
24,"TEXT_KINGLA406_04994_TODO_00","<hex:0208F20129E4E94511FF3D><hex:022B16FF14><hex:023210FF07>ItemMP<hex:06F2AB7E03050203><hex:03> aus Iq Br'aax bei Shunye abliefern<hex:FFF0E4><hex:0208F0DFE4E94512FF4C><hex:022B16FF14><hex:023210FF07>ItemMP<hex:06F2AB7E03050203><hex:03> aus der Nähe von Ilyon Asoh bei Shunye abliefern<hex:FF8D>Als <hex:020837E905FF24>Mi<hex:02160103>nen<hex:02160103>ar<hex:02160103>bei<hex:02160103>te<hex:02160103>rin<hex:FF0E>Minenarbeiter<hex:03> oder <hex:020819E905FF0B>Gärtnerin<hex:FF09>Gärtner<hex:03><hex:02100103><hex:023210FF07>ItemMP<hex:06F2AB7E03050203> bei Shunye abliefern<hex:03><hex:03>"
25,"TEXT_KINGLA406_04994_TODO_01",""
26,"TEXT_KINGLA406_04994_TODO_02",""
27,"TEXT_KINGLA406_04994_TODO_03",""
28,"TEXT_KINGLA406_04994_TODO_04",""
29,"TEXT_KINGLA406_04994_TODO_05",""
30,"TEXT_KINGLA406_04994_TODO_06",""
31,"TEXT_KINGLA406_04994_TODO_07",""
32,"TEXT_KINGLA406_04994_TODO_08",""
33,"TEXT_KINGLA406_04994_TODO_09",""
34,"TEXT_KINGLA406_04994_TODO_10",""
35,"TEXT_KINGLA406_04994_TODO_11",""
36,"TEXT_KINGLA406_04994_TODO_12",""
37,"TEXT_KINGLA406_04994_TODO_13",""
38,"TEXT_KINGLA406_04994_TODO_14",""
39,"TEXT_KINGLA406_04994_TODO_15",""
40,"TEXT_KINGLA406_04994_TODO_16",""
41,"TEXT_KINGLA406_04994_TODO_17",""
42,"TEXT_KINGLA406_04994_TODO_18",""
43,"TEXT_KINGLA406_04994_TODO_19",""
44,"TEXT_KINGLA406_04994_TODO_20",""
45,"TEXT_KINGLA406_04994_TODO_21",""
46,"TEXT_KINGLA406_04994_TODO_22",""
47,"TEXT_KINGLA406_04994_TODO_23",""
48,"TEXT_KINGLA406_04994_UVLO_000_000","Ich habe meine Lektion gelernt: Meine einzige Aufgabe besteht darin, mich im Laden nützlich zu machen und Meister Shunye zu entlasten!"
49,"TEXT_KINGLA406_04994_SHUNYE_000_010","Willkommen zurück, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>! Es ist mir immer wieder eine Freude, dich hier begrüßen zu dürfen."
50,"TEXT_KINGLA406_04994_SHUNYE_000_011","Aber ich muss dir etwas anvertrauen<hex:021D0103>... Und zwar mache ich mir Sorgen um Uvlo. Seit ihr von dem Lieferauftrag zurückgekehrt seid, verhält er sich ziemlich merkwürdig."
51,"TEXT_KINGLA406_04994_SHUNYE_000_012","Ich habe ihm bereits mehrfach versichert, dass ich ihm keine Vorwürfe mache, aber er scheint noch immer ein schlechtes Gewissen zu haben, weil er meine Schwester über meine Ver<hex:02160103>gangen<hex:02160103>heit ausgefragt hat. Seit ich euch von meinem Unglück erzählt habe, arbeitet er von morgens bis abends ohne Unterlass."
52,"TEXT_KINGLA406_04994_SHUNYE_000_013","Das ist auch der Grund dafür, weshalb ich heute tatsächlich mal keine Aufgabe für dich habe. Er hat schon alle erledigt!"
53,"TEXT_KINGLA406_04994_UVLO_000_014","Meister Shunye, ich habe mich um alle ausstehenden Aufgaben gekümmert, ist alles abgehakt! Deswegen dachte ich, dass wir vielleicht versuchen könnten, etwas über die blauen Himmelsblüten in Erfahrung zu bringen."
54,"TEXT_KINGLA406_04994_SHUNYE_000_015","Uvlo<hex:021D0103>... Könnte es sein, dass du die ganze Arbeit absichtlich schnell erledigt hast, um diesen Vorschlag zu äußern, sobald <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203> hier auftaucht?"
55,"TEXT_KINGLA406_04994_UVLO_000_016","Na ja, ganz so war es nicht<hex:021D0103>... Aber ich kann nicht leugnen, dass diese Steine mein Interesse geweckt haben."
56,"TEXT_KINGLA406_04994_UVLO_000_0017","Es ist schon mysteriös, dass die blauen Himmelsblüten unmittelbar nach diesem schrecklichen Unglück am Ort des Geschehens aufgefunden wurden."
